,Sno,Movie Name,Duration,Year,Ratings,Metascore,director1,director2,director3,director4,director5,director6
0,1,Spider-Man: Across the Spider-Verse, 140 min ,2023,9.0,86, Joaquim Dos Santos, Kemp Powers, Justin K. Thompson ,,,
1,2,The Dark Knight, 152 min ,2008,9.0,84, Christopher Nolan ,,,,,
2,3,The Lord of the Rings: The Return of the King, 201 min ,2003,9.0,94, Peter Jackson ,,,,,
3,4,Inception, 148 min ,2010,8.8,74, Christopher Nolan ,,,,,
4,5,The Lord of the Rings: The Fellowship of the Ring, 178 min ,2001,8.8,92, Peter Jackson ,,,,,
5,6,The Lord of the Rings: The Two Towers, 179 min ,2002,8.8,87, Peter Jackson ,,,,,
6,7,The Matrix, 136 min ,1999,8.7,73, Lana Wachowski, Lilly Wachowski ,,,,
7,8,Star Wars: Episode V - The Empire Strikes Back, 124 min ,1980,8.7,82, Irvin Kershner ,,,,,
8,9,Soorarai Pottru, 153 min ,2020,8.7,NA, Sudha Kongara ,,,,,
9,10,Terminator 2: Judgment Day, 137 min ,1991,8.6,75, James Cameron ,,,,,
10,11,Star Wars: Episode IV - A New Hope, 121 min ,1977,8.6,90, George Lucas ,,,,,
11,12,Seven Samurai, 207 min ,1954,8.6,98, Akira Kurosawa ,,,,,
12,13,Harakiri, 133 min ,1962,8.6,85, Masaki Kobayashi ,,,,,
13,14,Sita Ramam, 163 min ,2022,8.6,NA, Hanu Raghavapudi ,,,,,
14,15,Gladiator, 155 min ,2000,8.5,67, Ridley Scott ,,,,,
15,16,Léon: The Professional, 110 min ,1994,8.5,64, Luc Besson ,,,,,
16,17,Spider-Man: Into the Spider-Verse, 117 min ,2018,8.4,87, Bob Persichetti, Peter Ramsey, Rodney Rothman ,,,
17,18,Indiana Jones and the Raiders of the Lost Ark, 115 min ,1981,8.4,85, Steven Spielberg ,,,,,
18,19,Avengers: Endgame, 181 min ,2019,8.4,78, Anthony Russo, Joe Russo ,,,,
19,20,Oldboy, 101 min ,2003,8.4,77, Park Chan-wook ,,,,,
20,21,Aliens, 137 min ,1986,8.4,84, James Cameron ,,,,,
21,22,The Dark Knight Rises, 164 min ,2012,8.4,78, Christopher Nolan ,,,,,
22,23,Avengers: Infinity War, 149 min ,2018,8.4,68, Anthony Russo, Joe Russo ,,,,
23,24,Kaithi, 145 min ,2019,8.4,NA, Lokesh Kanagaraj ,,,,,
24,25,Asuran, 141 min ,2019,8.4,NA, Vetrimaaran ,,,,,
25,26,Top Gun: Maverick, 130 min ,2022,8.3,78, Joseph Kosinski ,,,,,
26,27,Heat, 170 min ,1995,8.3,76, Michael Mann ,,,,,
27,28,Star Wars: Episode VI - Return of the Jedi, 131 min ,1983,8.3,58, Richard Marquand ,,,,,
28,29,Princess Mononoke, 134 min ,1997,8.3,76, Hayao Miyazaki ,,,,,
29,30,North by Northwest, 136 min ,1959,8.3,98, Alfred Hitchcock ,,,,,
30,31,Kantara, 148 min ,2022,8.3,NA, Rishab Shetty ,,,,,
31,32,Dangal, 161 min ,2016,8.3,NA, Nitesh Tiwari ,,,,,
32,33,Vikram, 175 min ,2022,8.3,NA, Lokesh Kanagaraj ,,,,,
33,34,K, 168 min ,2022,8.3,NA, Prashanth Neel ,,,,,
34,35,Shershaah, 135 min ,2021,8.3,NA, Vishnuvardhan ,,,,,
35,36,Raatchasan, 170 min ,2018,8.3,NA, Ram Kumar ,,,,,
36,37,Guardians of the Galaxy Vol, 150 min ,2023,8.2,64, James Gunn ,,,,,
37,38,Jurassic Park, 127 min ,1993,8.2,68, Steven Spielberg ,,,,,
38,39,Spider-Man: No Way Home, 148 min ,2021,8.2,71, Jon Watts ,,,,,
39,40,Indiana Jones and the Last Crusade, 127 min ,1989,8.2,65, Steven Spielberg ,,,,,
40,41,Batman Begins, 140 min ,2005,8.2,70, Christopher Nolan ,,,,,
41,42,1917, 119 min ,2019,8.2,78, Sam Mendes ,,,,,
42,43,Kill Bill: Vol, 111 min ,2003,8.2,69, Quentin Tarantino ,,,,,
43,44,Die Hard, 132 min ,1988,8.2,72, John McTiernan ,,,,,
44,45,V for Vendetta, 132 min ,2005,8.2,62, James McTeigue ,,,,,
45,46,Demon Slayer the Movie: Mugen Train, 117 min ,2020,8.2,72, Haruo Sotozaki ,,,,,
46,47,Ran, 162 min ,1985,8.2,97, Akira Kurosawa ,,,,,
47,48,Baahubali 2: The Conclusion, 167 min ,2017,8.2,NA, S.S. Rajamouli ,,,,,
48,49,Gangs of Wasseypur, 321 min ,2012,8.2,89, Anurag Kashyap ,,,,,
49,50,Yojimbo, 110 min ,1961,8.2,93, Akira Kurosawa ,,,,,
50,51,K, 156 min ,2018,8.2,NA, Prashanth Neel ,,,,,
51,52,Sherlock Jr, 45 min ,1924,8.2,NA, Buster Keaton ,,,,,
52,53,Uri: The Surgical Strike, 138 min ,2019,8.2,NA, Aditya Dhar ,,,,,
53,54,Vikram Vedha, 147 min ,2017,8.2,NA, Gayatri, Pushkar, Gowtham Selvaraj ,,,
54,55,The Mountain II," Action, Drama, War",2016,8.2,NA, Alper Caglar ,,,,,
55,56,Paan Singh Tomar, 135 min ,2012,8.2,NA, Tigmanshu Dhulia ,,,,,
56,57,Rangasthalam 1985, 170 min ,2018,8.2,NA, Sukumar ,,,,,
57,58,The Terminator, 107 min ,1984,8.1,84, James Cameron ,,,,,
58,59,Mad Max: Fury Road, 120 min ,2015,8.1,90, George Miller ,,,,,
59,60,Ford v Ferrari, 152 min ,2019,8.1,81, James Mangold ,,,,,
60,61,Pirates of the Caribbean: The Curse of the Black Pearl, 143 min ,2003,8.1,63, Gore Verbinski ,,,,,
61,62,Blade Runner, 117 min ,1982,8.1,84, Ridley Scott ,,,,,
62,63,Rush, 123 min ,2013,8.1,74, Ron Howard ,,,,,
63,64,Logan, 137 min ,2017,8.1,77, James Mangold ,,,,,
64,65,How to Train Your Dragon, 98 min ,2010,8.1,75, Dean DeBlois, Chris Sanders ,,,,
65,66,"Lock, Stock and Two Smoking Barrels", 107 min ,1998,8.1,66, Guy Ritchie ,,,,,
66,67,Warrior, 140 min ,2011,8.1,71, Gavin O'Connor ,,,,,
67,68,The Iron Giant, 86 min ,1999,8.1,85, Brad Bird ,,,,,
68,69,Neon Genesis Evangelion: The End of Evangelion, 87 min ,1997,8.1,NA, Hideaki Anno, Kazuya Tsurumaki ,,,,
69,70,Bajrangi Bhaijaan, 163 min ,2015,8.1,NA, Kabir Khan, Mehmet Tutkun ,,,,
70,71,The General, 67 min ,1926,8.1,NA, Clyde Bruckman, Buster Keaton ,,,,
71,72,The Hidden Fortress, 126 min ,1958,8.1,89, Akira Kurosawa ,,,,,
72,73,White Heat, 114 min ,1949,8.1,NA, Raoul Walsh ,,,,,
73,74,Major, 150 min ,2022,8.1,NA, Sashi Kiran Tikka ,,,,,
74,75,Sholay, 162 min ,1975,8.1,NA, Ramesh Sippy ,,,,,
75,76,Sarfarosh, 174 min ,1999,8.1,NA, John Mathew Matthan ,,,,,
76,77,A Wednesday, 104 min ,2008,8.1,NA, Neeraj Pandey ,,,,,
77,78,Hera Pheri, 156 min ,2000,8.1,NA, Priyadarshan ,,,,,
78,79,Thuppakki, 165 min ,2012,8.1,NA, A.R. Murugadoss ,,,,,
79,80,Kaththi, 166 min ,2014,8.1,NA, A.R. Murugadoss ,,,,,
80,81,Dune: Part One, 155 min ,2021,8.0,74, Denis Villeneuve ,,,,,
81,82,Guardians of the Galaxy, 121 min ,2014,8.0,76, James Gunn ,,,,,
82,83,Blade Runner 2049, 164 min ,2017,8.0,81, Denis Villeneuve ,,,,,
83,84,Zack Snyder's Justice League, 242 min ,2021,8.0,54, Zack Snyder ,,,,,
84,85,Deadpool, 108 min ,2016,8.0,65, Tim Miller ,,,,,
85,86,Casino Royale, 144 min ,2006,8.0,80, Martin Campbell ,,,,,
86,87,The Avengers, 143 min ,2012,8.0,69, Joss Whedon ,,,,,
87,88,The Incredibles, 115 min ,2004,8.0,90, Brad Bird ,,,,,
88,89,The Revenant, 156 min ,2015,8.0,76, Alejandro G. Iñárritu ,,,,,
89,90,Akira, 124 min ,1988,8.0,67, Katsuhiro Ôtomo ,,,,,
90,91,The Bourne Ultimatum, 115 min ,2007,8.0,85, Paul Greengrass ,,,,,
91,92,Kill Bill: Vol, 137 min ,2004,8.0,83, Quentin Tarantino ,,,,,
92,93,Ip Man, 106 min ,2008,8.0,59, Wilson Yip ,,,,,
93,94,Baahubali: The Beginning, 159 min ,2015,8.0,NA, S.S. Rajamouli ,,,,,
94,95,Wolfwalkers, 103 min ,2020,8.0,87, Tomm Moore, Ross Stewart ,,,,
95,96,Infernal Affairs, 101 min ,2002,8.0,75, Andrew Lau, Alan Mak ,,,,
96,97,Elite Squad, 115 min ,2007,8.0,33, José Padilha ,,,,,
97,98,Haider, 160 min ,2014,8.0,NA, Vishal Bhardwaj ,,,,,
98,99,Sanjuro, 96 min ,1962,8.0,NA, Akira Kurosawa ,,,,,
99,100,Elite Squad 2: The Enemy Within, 115 min ,2010,8.0,71, José Padilha ,,,,,
100,101,Tae Guk Gi: The Brotherhood of War, 140 min ,2004,8.0,64, Je-kyu Kang ,,,,,
101,102,Arjun Reddy, 182 min ,2017,8.0,NA, Sandeep Reddy Vanga ,,,,,
102,103,Karthikeya 2, 150 min ,2022,8.0,NA, Chandoo Mondeti ,,,,,
103,104,The Breath," Action, Drama, Thriller",2009,8.0,NA, Levent Semerci ,,,,,
104,105,Andaz Apna Apna, 160 min ,1994,8.0,NA, Rajkumar Santoshi ,,,,,
105,106,1: Nenokkadine, 170 min ,2014,8.0,NA, Sukumar ,,,,,
106,107,John Wick: Chapter 4, 169 min ,2023,7.9,78, Chad Stahelski ,,,,,
107,108,Avatar, 162 min ,2009,7.9,83, James Cameron ,,,,,
108,109,Iron Man, 126 min ,2008,7.9,79, Jon Favreau ,,,,,
109,110,Thor: Ragnarok, 130 min ,2017,7.9,74, Taika Waititi ,,,,,
110,111,Edge of Tomorrow, 113 min ,2014,7.9,71, Doug Liman ,,,,,
111,112,X-Men: Days of Future Past, 132 min ,2014,7.9,75, Bryan Singer ,,,,,
112,113,The Bourne Identity, 119 min ,2002,7.9,68, Doug Liman ,,,,,
113,114,Star Trek, 127 min ,2009,7.9,82, J.J. Abrams ,,,,,
114,115,Children of Men, 109 min ,2006,7.9,84, Alfonso Cuarón ,,,,,
115,116,District 9, 112 min ,2009,7.9,81, Neill Blomkamp ,,,,,
116,117,The Blues Brothers, 133 min ,1980,7.9,60, John Landis ,,,,,
117,118,A Fistful of Dollars, 99 min ,1964,7.9,65, Sergio Leone ,,,,,
118,119,"Crouching Tiger, Hidden Dragon", 120 min ,2000,7.9,94, Ang Lee ,,,,,
119,120,Ghost in the Shell, 83 min ,1995,7.9,76, Mamoru Oshii ,,,,,
120,121,The Raid 2, 150 min ,2014,7.9,71, Gareth Evans ,,,,,
121,122,The Wild Bunch, 135 min ,1969,7.9,98, Sam Peckinpah ,,,,,
122,123,Hero, 120 min ,2002,7.9,85, Yimou Zhang ,,,,,
123,124,The Adventures of Robin Hood, 102 min ,1938,7.9,97, Michael Curtiz, William Keighley ,,,,
124,125,A Taxi Driver, 137 min ,2017,7.9,69, Hun Jang ,,,,,
125,126,Baby, 159 min ,2015,7.9,NA, Neeraj Pandey ,,,,,
126,127,Airlift, 130 min ,2016,7.9,NA, Raja Menon ,,,,,
127,128,Vishwaroopam, 148 min ,2013,7.9,NA, Kamal Haasan ,,,,,
128,129,Everything Everywhere All at Once, 139 min ,2022,7.8,81, Daniel Kwan, Daniel Scheinert ,,,,
129,130,The Batman, 176 min ,2022,7.8,72, Matt Reeves ,,,,,
130,131,The Gentlemen, 113 min ,2019,7.8,51, Guy Ritchie ,,,,,
131,132,All Quiet on the Western Front, 148 min ,2022,7.8,76, Edward Berger ,,,,,
132,133,Hot Fuzz, 121 min ,2007,7.8,81, Edgar Wright ,,,,,
133,134,Predator, 107 min ,1987,7.8,47, John McTiernan ,,,,,
134,135,Drive, 100 min ,2011,7.8,78, Nicolas Winding Refn ,,,,,
135,136,RRR, 187 min ,2022,7.8,83, S.S. Rajamouli ,,,,,
136,137,Ghostbusters, 105 min ,1984,7.8,71, Ivan Reitman ,,,,,
137,138,Dunkirk, 106 min ,2017,7.8,94, Christopher Nolan ,,,,,
138,139,Apocalypto, 139 min ,2006,7.8,68, Mel Gibson ,,,,,
139,140,Rogue One: A Star Wars Story, 133 min ,2016,7.8,65, Gareth Edwards ,,,,,
140,141,Star Wars: Episode VII - The Force Awakens, 138 min ,2015,7.8,80, J.J. Abrams ,,,,,
141,142,Captain America: Civil War, 147 min ,2016,7.8,75, Anthony Russo, Joe Russo ,,,,
142,143,Taken, 90 min ,2008,7.8,51, Pierre Morel ,,,,,
143,144,Captain Phillips, 134 min ,2013,7.8,82, Paul Greengrass ,,,,,
144,145,Skyfall, 143 min ,2012,7.8,81, Sam Mendes ,,,,,
145,146,Captain America: The Winter Soldier, 136 min ,2014,7.8,70, Anthony Russo, Joe Russo ,,,,
146,147,The Fugitive, 130 min ,1993,7.8,87, Andrew Davis ,,,,,
147,148,The Last Samurai, 154 min ,2003,7.8,55, Edward Zwick ,,,,,
148,149,I Saw the Devil, 144 min ,2010,7.8,67, Jee-woon Kim ,,,,,
149,150,Big Hero 6, 102 min ,2014,7.8,74, Don Hall, Chris Williams ,,,,
150,151,Thirteen Lives, 147 min ,2022,7.8,66, Ron Howard ,,,,,
151,152,Serenity, 119 min ,2005,7.8,74, Joss Whedon ,,,,,
152,153,The Fighter, 116 min ,2010,7.8,79, David O. Russell ,,,,,
153,154,How to Train Your Dragon 2, 102 min ,2014,7.8,77, Dean DeBlois ,,,,,
154,155,Letters from Iwo Jima, 141 min ,2006,7.8,89, Clint Eastwood ,,,,,
155,156,"Aguirre, the Wrath of God", 95 min ,1972,7.8,NA, Werner Herzog ,,,,,
156,157,The Chaser, 125 min ,2008,7.8,64, Na Hong-jin ,,,,,
157,158,Ninja Scroll, 94 min ,1993,7.8,NA, Yoshiaki Kawajiri ,,,,,
