,Movie Name,Votes,Gross Collection,Popularity,Certification,star1,star2,star3,star4,Genre1,Genre2,Genre3
0,Spider-Man: Across the Spider-Verse,"136,269",NA,2,PG , Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Animation, Action, Adventure
1,The Dark Knight,"2,727,109", $534.86M,82,PG-13 , Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Action, Crime, Drama
2,The Lord of the Rings: The Return of the King,"1,891,922", $377.85M,320,PG-13 , Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Action, Adventure, Drama
3,Inception,"2,420,290", $292.58M,71,PG-13 , Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Action, Adventure, Sci-Fi
4,The Lord of the Rings: The Fellowship of the Ring,"1,920,460", $315.54M,153,PG-13 , Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Action, Adventure, Drama
5,The Lord of the Rings: The Two Towers,"1,707,459", $342.55M,750,PG-13 , Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, Action, Adventure, Drama
6,The Matrix,"1,963,196", $171.48M,243,R , Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Action, Sci-Fi,
7,Star Wars: Episode V - The Empire Strikes Back,"1,324,619", $290.48M,575,PG , Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Action, Adventure, Fantasy
8,Soorarai Pottru,"119,689",NA,NA,TV-MA , Suriya, Paresh Rawal, Aparna Balamurali, Urvashi, Action, Drama,
9,Terminator 2: Judgment Day,"1,126,165", $204.84M,132,R , Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Action, Sci-Fi,
10,Star Wars: Episode IV - A New Hope,"1,396,897", $322.74M,366,PG , Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Action, Adventure, Fantasy
11,Seven Samurai,"353,606", $0.27M,"1,643",Not Rated , Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Action, Drama,
12,Harakiri,"61,360",NA,"2,872",Not Rated , Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba, Action, Drama, Mystery
13,Sita Ramam,"60,561",NA,NA,U , Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth, Action, Drama, Mystery
14,Gladiator,"1,539,991", $187.71M,135,R , Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Action, Adventure, Drama
15,Léon: The Professional,"1,192,508", $19.50M,196,R , Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Action, Crime, Drama
16,Spider-Man: Into the Spider-Verse,"591,716", $190.24M,9,PG , Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Animation, Action, Adventure
17,Indiana Jones and the Raiders of the Lost Ark,"991,092", $248.16M,45,PG , Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Action, Adventure,
18,Avengers: Endgame,"1,186,051", $858.37M,120,PG-13 , Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Action, Adventure, Drama
19,Oldboy,"598,139", $0.71M,306,R , Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok, Action, Drama, Mystery
20,Aliens,"734,074", $85.16M,313,R , Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Action, Adventure, Sci-Fi
21,The Dark Knight Rises,"1,746,295", $448.14M,316,PG-13 , Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman, Action, Drama, Thriller
22,Avengers: Infinity War,"1,129,031", $678.82M,325,PG-13 , Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Action, Adventure, Sci-Fi
23,Kaithi,"36,385",NA,NA,Not Rated , Karthi, Narain, Arjun Das, George Maryan, Action, Adventure, Crime
24,Asuran,"31,305",NA,NA,Not Rated , Dhanush, Manju Warrier, Prakash Raj, Pasupathy, Action, Drama,
25,Top Gun: Maverick,"597,745", $718.73M,56,PG-13 , Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer, Action, Drama,
26,Heat,"679,122", $67.44M,92,R , Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Action, Crime, Drama
27,Star Wars: Episode VI - Return of the Jedi,"1,080,186", $309.13M,934,PG , Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Action, Adventure, Fantasy
